"Reference","Photo_No","ImgBox","DigitalID","Date_Added","Source","Date","Subject","Notes","Details","Creator","Location","Dimensions","Condition","Format","Copyright","Seq_No","e18","e19"
"00339","339","13","DF00869","","","","Rev Lester & Deanne Kelly & family","","Kelly family - Lester and Deanne, Priscilla, Timothy, Naomi and Jemimah.  See MTQ book re work at Cooktown.","Unknown","Unknown","15.1x10.1cm","Good - colour","","","813","",""
"00340","340","13","DF00870","","","1990","Dan & Kerrie Kemp","","Former police officer Dan Kemp and wife Kerrie","Unknown","Unknown","17.7x12.2cm","Fair - colour","","","814","",""
"00341","341","13","DF00871","","","","Richard, Patricia, Leigh, Jaymes Kingham","","Rev Richard Kingham and family.  See MTQ book at pages 25, 39, 47 and 49 re work for MTQ.","Unknown","Unknown","12.1x8.9cm","Good - colour","","","815","",""
"00342","342","13","DF00872","","","","Jim & Kay Kitson","","Jim Kitson and wife Kay","Unknown","Unknown","8.7x8.3cm","Good - colour","","","816","",""
"00343","343","13","DF00873","","","","John & Margaret Knights","","Rev John Knights and wife Margaret","Unknown","Unknown","14.9x10.1cm","Good - colour","","","817","",""
"00344","344","13","DF00874","","","","Murray & Debbie Lean & family","","Rev Dr Murray Lean and family","Unknown","Unknown","17.1x10.8cm","Good - colour","","","818","",""
"00345","345","13","DF00875","","","","Des Limkin & wife","","Des Limkin and wife (details unknown)","Unknown","Unknown","15.1x9.8cm","Good - colour","","","819","",""
"00346","346","13","DF00876","","","","Alan & Clare Loder","","Rev Al Loder and wife Clare","Unknown","Unknown","15.7x11.7cm","Good - colour","","","820","",""
"00347","347","13","DF00877","","","1993","Don & Denise McPherson with Annette, Julie, Sarah and Michelle","","Rev Don McPherson and family at South Pine BC during interim ministry there","Don Smith","Albany Creek","13.2x7.8cm","Good - colour","","","821","",""
"00348","348","13","DF00878","","","","Ken Newton & wife","","Mr and Mrs Ken Newton at Labrador BC","Unknown","Unknown","15.1x10.2cm","Good - colour","","","822","",""
"00349","349","13","DF00879","","","","Noel & Julie Nicholls & family (Mark, Andrew & Kay)","","Noel and Julie Nicholls and family","Unknown","Unknown","14.1x9.4cm","Good - colour","","","823","",""
"00350","350","12","DF01155","","","","Rev Lloyd Miller & Mrs Simone Miller","","Associate Pastor of Maroochydore BC from 1997.","Unknown","Unknown","17.6x12.6cm","Good - colour","","","824","",""
"00351","351","13","DF00880","","","","Grahame & Gaye Monteith","","Grahame and Gaye Monteith. See MTQ book re work at Ayr for MTQ.  At Burdekin from 1990-1994.","Unknown","Unknown","12.9x9.2cm","Good - colour","","","825","",""
"00352","352","13","DF00881","","","","Don & Joyce Moore","","Rev Don and Joyce Moore.  Rev Moore and Rev Rod Bullpitt conducted a review of the MTQ work in 1995.","Unknown","Unknown","17.2x12.0cm","Good - colour","","","826","",""
"00353","353","13","DF00882","","","1992","Russell & Caroline Moore & Nathan (Blackwater Baptist) - 1 November 1992","","Russell an Caroline Moore and son, Nathan at Blackwater BC","Unknown","Unknown","15.2x10.0cm","Good - colour","","","827","",""
"00354","354","13","DF00883","","","1994","Geoff & Avis Morcom - February 1994 ","","Geoff and Avis Morcomb","Unknown","Unknown","12.9x9.3cm","Good - colour","","","828","",""
"00354A","354A","13","DF00884","","","","Geoff and Avis Morcom","","Geoff and Avis Morcom - possibly 1997-98 when Morcom as President of the BUQ","Unknown","Unknown","12.0x10.0cm","Good - colour","","","829","",""
"00355","355","13","DF00885","","","","Viv & Beth Morse & family","","Viv and Beth Morse and children Joanne, Hayden and Bradley","Unknown","Unknown","9.2x9.1cm","Good - colour","","","830","",""
"00356","356","13","DF00886","","","","P. Munro & family - 2 copies","","P Munro, wife and 3 children","Unknown","Unknown","8.9x6.4cm","Good - colour","","","831","",""
"00357","357","13","DF00887","","","","Michael & Cheryl Parker & family - 2 photos","","Michael and Cheryl Parker and 3 children","Unknown","Unknown","14.2x9.1cm","Good - colour","","","832","",""
"00358","358","13","DF00888","","","","Rob & Shirley Pattemore & Kerryanne","","Rev Rob, Shirley and Kerryanne Pattemore - MTQ - Mossman and Port Douglas.  See MTQ book at pages 12-13, 29, and 34-35 re work for MTQ.","Unknown","Unknown","14.1x9.5cm","Good - colour","","","833","",""
"00359","359","13","DF00889","","","","Graham & Iris Paulson","","Rev Graham and Mrs Iris Paulson - President BUQ 2003-04","Unknown","Unknown","9.7x8.3cm","Good - colour","","","834","",""
"00360","360","13","DF00890","","","1993","Brian & Caroline Robertson & Katherine - October 1993","","Brian, Caroline and Katharine Robertson","Unknown","Unknown","12.6x8.7cm","Good - colour","","","835","",""
"00361","361","13","DF00891","","","","Van & Heazle Shore - Labrador","","Van Shore and Mrs Shore of Labrador","Unknown","Unknown","15.2x10.2cm","Good - colour","","","836","",""
"00362","362","13","DF00892","","","1994","Paul & Ruth Smith of Church Dynamics - Kenmore - assisting local churches","","Paul and Ruth Smith - photo business card","Unknown","Unknown","8.9x5.4cm","Good - colour","","","837","",""
"00363","363","13","DF00893","","","","Rev Dr Stan & Nell Solomon","","Rev Dr Stan and Mrs Nell Solomon","Unknown","Unknown","9.7x8.2cm","Good - colour","","","838","",""
"00364","364","13","DF00894","","","","John & Jean Spall","","Pastor John and Jean Spall - President BUQ 2005-2006","Unknown","Unknown","12.2x12.2cm","Good - colour","","","839","",""
"00365","365","13","DF00895","","","","Rev Will & Rose Spann & family (Stephen, Michael)","","Rev Will Spann, wife Rose and sons Stephen and Michael","Unknown","Unknown","15.0x10.1cm","Good - colour","","","840","",""
"00366","366","13","DF00896","","","","Malcolm & Gladys Steer & family","","Rev Malcolm Steer and family - retired Pastor","Unknown","Unknown","15.0x10.5cm","Good - colour","","","841","",""
"00367","367","13","DF00897","","","1992","Ken & Gwen Steer - Rockhampton - November 1992","","Rev Ken and Mrs Gwen Steer - Rockhampton - retired Pastor","Unknown","Unknown","13.3x9.1cm","Good - colour","","","842","",""
"00368","368","13","DF00898","","","","Lindy & Keith Stevenson & family - Hervey Bay","","Pastor Keith Stevenson, wife Lindy and children Justin (11), Grant (14) and Cathy (17).","Unknown","Unknown","14.5x9.5cm","Good - colour","","","843","",""
"00369","369","13","DF00899","","","","Neville & Merle Suffolk","","Rev Neville Suffolkand wife Marle - retired pastor","Unknown","Unknown","8.9x7.2cm","Good - colour","","","844","",""
"00370","370","13","DF00900","","","","John Tanner & family (2 copies)","","Rev John Tanner and family - retired pastor","Unknown","Unknown","12.9x8.8cm","Black and white - good","","","845","",""
"00371","371","13","DF00901","","","","Ron & Paula Turner","","Pastor Ron and Paula Turner - See MTQ book re MTQ work at Cooktown and Goondiwindi.","Unknown","Unknown","13.4x9.9cm","Good - colour","","","846","",""
"00372","372","13","DF00902","","","1993","Rev Stephen & Kay Wade - March 1993","","Rev Stephen Wade and wife Kay - Senior Pastor at Gladstone BC","Unknown","Unknown","15.2x10.3cm","Good - B & W","","","847","",""
"00373","373","13","DF00903","","","","Max & Coral Warnington","","Pastor Max and Mrs Coral Warmington, Labrador","Unknown","Unknown","15.2x10.2cm","Good - colour","","","848","",""
"00374","374","13","DF00904","","","","Norm & Mavis Weston","","Rev Norm and Mrs Mavis Weston","Unknown","Unknown","13.9x9.4cm","Good - colour","","","849","",""
"00375","375","13","DF00905","","","","Noel & Bev Wilcox","","Rev Noel and Mrs Bev Wilcox","Unknown","Unknown","19.2x11.0cm","Good - colour","","","850","",""
"00376","376","13","DF00906","","","","Rob & Trish Williams (couple on the right of photo)","","Pastor Rob Williams - see QB September 1998 page 1 re Pstor Rob and his band entertaining seniors at Nambour Baptist Church","Unknown","Unknown","15.2x9.9cm","Good - colour","","","851","",""
"00377","377","13","DF00907","","","","Lloyd & Valmay Woodrow & family (Belinda, Nathan, Janine)","","Lloyd Woodrow and family (Valmay, Belinda, Janine and Nathan)","Unknown","Unknown","15.1x10.1cm","Good - colour","","","852","",""
"00378","378","13","DF00908","","","1994","Ian & Margaret Wright & family (Matt, Ben, Tim, Sam)","","Rev Ian Wright, Mrs Margaret Wright, Matt, Ben, Tim and Sam on the occasion of pastor Wright's appointment as coordinator of the Queensland Chaplaincy Service","Unknown","Cleveland Baptist Church","12.6x9.2cm","Good - colour","","","853","",""
"00426","426","13","DF00909","","","","Trevor Langridge","","Trevor Langridge First year student at Theological College - see College Feature in QB November 1987","Unknown","Unknown","4.6x3.6cm","Good - colour","","","854","",""
"00427","427","13","DF00910","","","","Andrew Otte","","Rev Andrew Otte","Unknown","Unknown","4.7x4.5cm","Good - colour","","","855","",""
"00428","428","13","DF00911","","","","Keith Stevensen & wife with Ian Mallins & wife","","Pastor Keith Stevensen and wife with Pastor Ian Mallins and wife - probably taken when they were both pastors at Hervey Bay BC ","Unknown","Unknown","15.2x10.2cm","Good - colour","","","856","",""
"00429","429","13","DF00912","","","","Rev Frank Stone","","Rev Frank Stone - General Secretary 1956-1970; acting General Superintendent 1970-1971; General Superintendent 1971-1981","Unknown","Unknown","5.9x4.7cm","B & W good","","","857","",""
"00430","430","13","DF00913","","","","David Swincer","","Rev David Swincer - see Coege Feature in QB August 1985","Unknown","Unknown","7.0x6.2cm","Fair","","","858","",""
"00431","431","13","DF00914","","","","Bob Rogers","","Rev Bob Rogers in Army uniform","Unknown","Unknown","12.7x8.6cm","Good - colour","","","859","",""
"00432","432","13","DF00915","","","","Merv and Jan Dunkin","","Merv and Jan Dunkin - Sudan United Mission","Unknown","Unknown","14.8x10.1cm","Good - colour","","","860","",""
"00433","433","13","DF00916","","","","Trevor Ross and wife","","Rev Trevor and Mrs Joan Ross - General Treasurer BUQ 1999-2002","Unknown","Unknown","9.2x8.2cm","Good - colour","","","861","",""
"00434","434","13","DF00917","","","","Tony Crook","","Tony Crook GIA Director with wife and daughters","Unknown","Unknown","14.5x10.2cm","Good - colour","","","862","",""
"00435","435","13","DF00918","","","","Elizabeth Steer","","Elizabeth Steer","Unknown","Unknown","11.3x9.3cm","Good - colour","","","863","",""
"00436","436","13","DF00919","","","","Phil Greenbury","","Rev Phil and Mrs Merryl Greenbury and family - Area Superintendent.  See MTQ book page 11.","Unknown","Unknown","10.1x9.2cm","Good - colour","","","864","",""
"00437","437","13","DF00920","","","","Wes Jessop","","Wes Jessop, College student 1995","Unknown","Unknown","6.7x5.3cm","Good - colour","","","865","",""
"00438","438","13","DF00921","","","","Graham Whyte","","Graham Whyte and wife (?)","Unknown","Unknown","15.2x10.1cm","Good - colour","","","866","",""
"00439","439","13","DF00922","","","","Roy Wilson","","Rev Roy Wilson Area Superintendent SW","Unknown","Unknown","15.2x10.0cm","Good - colour","","","867","",""
"00440","440","13","DF00923","","","1982","Drew Kelso","","Rev Drew Kelso - Queensland Baptist Field Minister to attend Holland Congress","See QB 12/1982 a page 5","Brisbane","10.1x6.1cm","Good - colour","","","868","",""
"00441","441","12","DF01153","","","","Rev Doug Dunlop and wife Gladys","","See Book ""Douglas A Dunlop -Pastor Builder"" by Richard Scanlan (copy held in Archives) for full details of the life and work of Pastor Dunlop.","Richard Scanlan","Laidley","17.7x12.7cm","Good - B&W","","","869","",""
"00445","445","13","DF00924","","","1991","Prof Laurie Lyons & Prof Gareth Jones","","Professors Lyons and Jones. Occasion not known.  See QB 9/91 re Professor Jones.","Unknown","Unknown","12.2x8.8cm","Good - colour","","","870","",""
"00446","446","13","DF00925","","","1991","Prof Laurie Lyons & Prof Gareth Jones","","Professors Lyons and Jones. Occasion not known.  See QB 9/91 re Professor Jones.","Unknown","Unknown","12.2x8.8cm","Good - colour","","","871","",""
"00447","447","13","DF00926","","","1991"," Prof Gareth Jones","","See QB 9/91 page 4 under heading ""The value of human life"".","Unknown","Unknown","12.2x8.8cm","Good - colour","","","872","",""
"00448","448","13","DF00927","","","1991"," Prof Gareth Jones","","See QB 9/91 page 4 under heading ""The value of human life"".","Unknown","Unknown","12.2x8.8cm","Good - colour","","","873","",""
"00449","449","13","DF00928","","","","Graeme Smith","","Rev Graeme Smith who served mainly inVictoria but was Senior Pastor at Ashgrove BC from 1982-1995","Unknown","Unknown","15.0x10.1cm","Good - colour","","","874","",""
"00450","450","13","DF00929","","","1994","Rev Garry Billings, Tasmania","","President of the Baptist Union of Australia 1994-1997","Unknown","Unknown","15.1x10.2cm","Good - colour","","","875","",""
"00451","451","13","DF00930","","","1982","Keith Benson and Lyn Theobald, Banyo B C, July 1982","","Keith Benson and Lyn Theobald","Unknown","Unknown","13.1x8.8cm","Fair colour","","","876","",""
"00452","452","13","DF00931","","","","Anne & Rich Hoyt with Janelle, Elaine, Timothy & Daniel, Banyo B C","","Hoyt family - The Evangelica Alliance Mission - Chad Africa","Introduction card","Unknown","14.0x8.8cm","Good - colour","","","877","",""
"00453","453","12","DF01123","","","1950","Banyo B C Sunday School in front of the old church building circa 1950","","Large group of children in front of the original Banyo church building","Unknown","Banyo","21.5x16.4cm","Good - B&W","","","878","",""
"00454","454","12","DF01152","","","","Newly constituted Tully B C - Some of the congregation with Rev John Tanner (back row, 2nd left)","","Rev John Tanner (back row, 2nd from left) with members of Tully congregation. Pastor Brian Robertson in shorts, front row","MTQ","Tully","17.5x11.4cm","Good - B&W","","","879","",""
"00455","455","13","DF00933","","Brooks family","","Folder of photos taken from negatives from A H Brooks, Home Mission Super, supplied by Brooks family of various churches, locations and groups - Only some identified","","Identified photos included - Rockhampton Tabernacle; Murgon; Tugun; Nanango; Palm Beach; Rev Dick Walker; Nambour; Gordon Park; Maleny; Gympie (Appolonia Vale); Margate; Wynnum; R Jarrott andfamily; ","BrooksFamily","Various locations around Queensland","15.3x10.1cm","B & W collection of photos","","","880","",""
"00456","456","13","DF00932","","","1982","House of Freedom Christian Community, West End (Athol Gill) - April 1982","","House of Freedom at West End, Brisbane - April 1982","Unknown","West End, Brisbane","13.1x8.8cm","Good - colour","","","881","",""
"00457","457","13","DF00934","","","","Atherton B C - Alan (Secretary) & Robyn Clarke, Greg Attewell (Treasurer)","","Secretary and Treasurer at Atherton - possibly 1977","Unknown","Atherton","11.4x9.0cm","Good B & W","","","882","",""
"00458","458","13","DF00935","","","1966","Atherton in the distance","","Long distance photoof Atherton township taen in June 1966","Unknown","Atherton","12.7x9.0cm","Fair","","","883","",""
"00459","459","13","DF00936","","","1966","Atherton - June 1966","","Street scene of Atherton in June 1966","Unknown","Atherton","12.7x9.0cm","Good B & W","","","884","",""
"00460","460","13","DF00937","","","1969","Baptismal service at Tinaroo Dam in the Atherton Tablelands 1969","","Baptism of an elderly woman on 25 May 1969","Unknown","Atherton Tablelands","12.7x8.9cm","Good B & W","","","885","",""
"00461","461","13","DF00938","","","","Atherton","","Large buiding believed to be in Atherton","Unknown","Atherton","12.7x8.9cm","Good B & W","","","886","",""
"00462","462","13","DF00939","","","1969","Mareeba Fellowship","","Mr and Mrs L K Bates (tentmakers) on left top step","Unknown","Mareeba","12.7x8.9cm","Good B & W","","","887","",""
"00463","463","13","DF00940","","","1969","Mareeba morning service 1969","","Fellowship at morning service on 25 May 1969","Unknown","Mareeba","12.7x8.9cm","Good B & W","","","888","",""
"00469","469","13","DF00941","","","1966","Atherton - 1966","","Street scene at Atherton in June 1966","Unknown","Atherton","12.7x8.9cm","Good B & W","","","889","",""
"00470","470","13","DF00942","","","2000","Reg Litzow at Litzow property at Vernor","","Vernor 3 Sept 2000","Unknown","Vernor","15.1x10.1cm","Good colour","","","890","",""
"00471","471","13","DF00943","","","2000","Reg Litzow at Litzow's property at Vernor 3 September 2000","","Vernor 3 Sept 2000","Unknown","Vernor","15.1x10.1cm","Good colour","","","891","",""
"00472","472","13","DF00944","","","2001","Joseph Walsh Lee's house as at 2001 - Zillmere Rd. West of Railway Station","","Location is west of the Zillmere raiway station","Unknown","Zillmere","15.1x10.1cm","Good colour","","","892","",""
"00473","473","13","DF00945","","","1987","Graeme &  Iris Paulson with Rev & Mrs R Bickerton","","See QB Oct 1987 page 3","Unknown","Brisbane","12.8x8.9cm","Good B & W","","","893","",""
"00474","474","13","DF00946","","","1987","Graeme &  Iris Paulson with Rev & Mrs R Bickerton","","See QB Oct 1987 page 3","Unknown","Brisbane","12.8x8.9cm","Good B & W","","","894","",""
"00475","475","13","DF00947","","","1998","Old Congregational Church at Ipswich","","Church with person in front","Unknown","Ipswich","15.0x10.1cm","Good colour","","","895","",""
"00476","476","13","DF00948","","","1998","Old Congregational Church at Ipswich","","Front view of Church","Unknown","Ipswich","15.0x10.1cm","Good colour","","","896","",""
"00477","477","13","DF00949","","","1998","Court House, Ipswich - 1998","","Ipswich Court House","Unknown","Ipswich","14.8x10.1cm","Good colour","","","897","",""
"00478","478","13","DF00950","","","","College students - names shown","","College class: back row: John Ward, Wally Herton,Harod Seaton, Rb Beaston, Sid King/Kean?, Frank Williams; front row: John Walker, Mx Vnco, Norn Weston, Norn Butcher, Clive Davis, unknown","Unknown","Brisbane","8.9x6.5cm","Good B & W","","","898","",""
"00479","479","13","DF00951","","","","College students - see photo 478 for names","","College class: back row: John Ward, Wally Herton,Harod Seaton, Rb Beaston, Sid King/Kean?, Frank Williams; front row: John Walker, Mx Vnco, Norn Weston, Norn Butcher, Clive Davis, unknown","Unknown","Brisbane","8.9x6.5cm","Good B & W","","","899","",""
"00480","480","13","DF00952","","","","Site of J Voller's Alpha Street home","","(Foreground) Voller's Alpha Street home.","Unknown","Brisbane","15.1x10.1cm","Good colour","","","900","",""
"00481","481","13","DF00953","","","","Rev William Whale's headstone at Toowong Cemetery","","Headstone of Rev William Whale, Pastor of Wharf Street BC and first Pator at the City Tabernacle building.  Baptist pastor in Brisbane from 1885-his death in 1903.","Unknown","Brisbane - Toowong cemetery","11.6x8.8cm","Fair - colour","","","901","",""
"00482","482","13","DF00954","","","","Rev B G Wilson's headstone at Toowong Cemetery","","Headstone of Rev Benjamin Gilmore Wilson pastor of Wharf Street BC","Unknown","Brisbane - Toowong cemetery","11.6x8.8cm","Fair - colour","","","902","",""
"00483","483","13","DF00955","","","","Martha Plested's headstone at Toowong Cemetery","","Headstone to pioneer Missionary erected by the Baptist Association of Queensland - Martha Plested","Unknown","Brisbane - Toowong cemetery","12.8x8.9cm","B & W faded","","","903","",""
"00484","484","13","DF00956","","","","Rev William Whale's headstone at Toowong Cemetery","","See photo  No.481 - a second view of William Whale's headstone","Unknown","Brisbane - Toowong cemetery","11.2x8.8cm","Color - fair qualty","","","904","",""
"00485","485","13","DF00957","","","","Martha Plested's headstone at Toowong Cemetery","","Another photo of Martha Plested's headstone - see also Photo 955 above","Unknown","Brisbane - Toowong cemetery","14.9x10.1cm","Colour - good","","","905","",""
"00486","486","13","DF00958","","","1991","Richard Ash Kingsford's headstone at Cairns Cemetery","","See ""Cameos of Baptist Men in19th century Queensland"" 1995, pages 15-18 re Kingsford","Unknown","Brisbane - Toowong cemetery","15.1x10.1cm","Colour - good","","","906","",""
"00487","487","13","DF00959","","","","Rob & Shirley Pattemore MTQ Staff","","MTQ workers Rob and Shirley Pattemore.  See MTQ book at pages 12-13, 29, and 34-35 re the Pattemore's work for MTQ.","Unknown","Unknown","15.2x10.2cm","Good -B & W","","","907","",""
"00488","488","13","DF00960","","","","Rob & Shirley Pattemore MTQ Staff","","See also Photo 487 taken earlier than this one","Unknown","Unknown","15.1x10.1cm","Good - colour","","","908","",""
"00489","489","13","DF00961","","","1998","Arthur Broughton MTQ Staff","","Arthur Broughton MTQ February 1998","Unknown","Unknown","15.1x10.2cm","Good - colour","","","909","",""
"00490","490","13","DF00962","","","","Arthur Broughton MTQ Staff - with Debbie, Jonathan and Rebekkah","","Arthur Broughton and family - see also Photo 489","Unknown","Unknown","15.1x10.1cm","Good - colour","","","910","",""
"00491","491","13","DF00963","","","","Andy Coller MTQ Staff","","Pastor Andy Coller MTQ See MTQ book at page 35 re work for MTQ at Mossman.","Unknown","Unknown","14.8x10.1cm","Good - colour","","","911","",""
"00492","492","13","DF00964","","","","Andy Coller and family","","Pastor Andy Coller MTQ, wife Julie and family","Unknown","Unknown","15.1x9.9cm","Good - colour","","","912","",""
"00493","493","13","DF00965","","","","Richard & Patricia Kingham MTQ Staff","","Pastor Richard Kingham MTQ and wife Patrici","Unknown","Unknown","15.1x10.2cm","Good - colour","","","913","",""
"00494","494","13","DF00966","","","","Graeme & Ann Jones MTQ Staff","","Graeme Jones MTQ and wife.  See MTQ book at pages 21,27,29, 40-41, 45 and 49 for MTQ work.","Unknown","Unknown","15.1x10.1cm","Good - colour","","","914","",""
"00495","495","13","DF00967","","","","Graema & Ann Jones MTQ Staff","","Graeme Jones MTQ and wife","Unknown","Unknown","12.6x8.9cm","Good - colour","","","915","",""
"00496","496","13","DF00968","","","","Rob & Donna Bartle MTQ Staff","","Pastor Rob Bartle and wife Donna.  See pages 43-44 of MTQ book re work for MTQ at Longreach.","Unknown","Unknown","15.0x10.1cm","Good - colour","","","916","",""
"00497","497","13","DF00969","","","","Rob & Donna Bartle MTQ Staff","","Pastor Rob Bartle MTQ and wife Donna","Unknown","Unknown","15.2x10.2cm","Good - colour","","","917","",""
"00498","498","13","DF00970","","","","Rob & Donna Bartle with Rev David McMahon MTQ","","Pastor Rob Bartle MTQ, wife Donna with Rev David McMahon at Longreach","Unknown","Longreach","15.1x10.2cm","Good - colour","","","918","",""
"00499","499","13","DF00971","","","","Ron & Paula Turner MTQ Staff","","Rob and Paula Turner.  See MTQ book at pages 31,34 and 43 for information about work for MTQ.","Unknown","Unknown","15.1x9.8cm","Good - colour","","","919","",""
"00500","500","13","DF00972","","","","Ron & Paula Turner MTQ Staff","","Rob and Paula Turner MTQ","Unknown","Unknown","15.1x10.1cm","Good - colour","","","920","",""
"00501","501","13","DF00973","","","","Ron & Paula Turner and family","","Rob and Paula Turner and family","Unknown","Unknown","15.2x10.2cm","Good - colour","","","921","",""
"00503","503","12","DF01133","","","","Julio & Laurina de Laffitte e Fretas - MTQ Staff at Burdekin.","","See page 28 of MTQ book re work at Burdekin for this photo. Information on MTQ work at Burdekin is given at page 29.","Unknown","Unknown","18.9x12.5cm","Good - colour","","","922","",""
"00505","505","13","DF00974","","","","Alan & Bev Franklin MTQ Staff","","Alan and Bev Franklin MTQ","Unknown","Unknown","15.2x10.1cm","Good - colour","","","923","",""
"00506","506","13","DF00975","","","","David McMahon MTQ Staff","","Rev David McMahon.  See MTQ book pages 41-42 re MTQ work at Longreach.","Unknown","Unknown","11.9x8.9cm","Good - colour","","","924","",""
"00507","507","13","DF00976","","","","Andrew & Lorraine Daniels MTQ Staff","","Andrew and Lorraine Daniels and child.  See MTQ book at pages 9, 19 and 21 re work at Middlemount from 1985-1993.","Unknown","Unknown","15.2x10.1cm","Good - colour","","","925","",""
"00508","508","13","DF00977","","","","Tony & Linda Woodward MTQ Staff","","Tony and Linda Woodward MTQ Mosman/Port Douglas.  See MTQ book at pages 13 and 34 re work for MTQ at Port Douglas.","Unknown","Unknown","15.1x10.1cm","Good - colour","","","926","",""
"00509","509","13","DF00978","","","","Tony & Linda Woodward MTQ Staff & children","","Tony and Linda Woodward MTQ Mosman/Port Douglas and family","Unknown","Unknown","9.7x9.6cm","Good - colour","","","927","",""
"00510","510","13","DF00979","","","","Dysart Team MTQ","","The MTQ Dysart team - names unknown","Unknown","Unknown","12.5x8.7cm","Good - colour","","","928","",""
"00511","511","13","DF00980","","","","Brian & Caroline Robertson MTQ Staff","","Pastor Brian Robertson and wife Caroline MTQ Tully","Unknown","Unknown","17.4x11.8cm","Good - B & W","","","929","",""
"00512","512","13","DF00981","","","","John & Cheryl Whyte MTQ Staff","","Pastor John and Cheryl Whyte - MTQ workers at Magnetic Island (4 years) and Glenden from 1988.","Unknown","Unknown","15.2x10.8cm","Good - B & W","","","930","",""
"00513","513","13","DF00982","","","","Wal and Carolyn Brown MTQ Staff","","Pastor Wal and Carolyn Brown - MTQ Whitsunday 1990-1994.","Unknown","Unknown","15.1x10.1cm","Good - colour","","","931","",""
"00514","514","13","DF00983","","","","Wal and Carolyn Brown MTQ Staff","","Wal and Carolyn Brown and family","Unknown","Unknown","15.2x10.1cm","Good - colour","","","932","",""
"00515","515","13","DF00984","","","","Colin and Maureen Lister MTQ Staff","","Colin and Maureen Lister - MTQ workers at Hughenden (1984-1988), Emerald (1989-19930 and Ingham 1994.","Unknown","Unknown","15.1x10.1cm","Good - colour","","","933","",""
"00516","516","13","DF00985","","","","Grahame & Gaye Monteith MTQ Staff","","Rev  Graheme and Gaye Monteith - MTQ workers at Burdekin 1990-1994.","Unknown","Unknown","15.1x10.3cm","Good - B & W","","","934","",""
"00517","517","13","DF00986","","","","Pastor Barry and Margaret Dell MTQ Staff","","Pastor Barry Dell and Margaret MTQ Tully","Unknown","Unknown","15.1x10.1cm","Good - colour","","","935","",""
"00518","518","13","DF00987","","","","The Henders MTQ Staff (further details unknown)","","The Henders (no record in Mel Williams history of MTQ 1981-1996) - See also Photo 559 below (DF01011)","Unknown","Unknown","15.1x10.2cm","Good - colour","","","936","",""
"00520","520","13","DF00988","","","","Revs. Graema Jones, Graham Paulson, Norm Nix and Arthur Payne (l to r)","","Revs Jones, Paulson, Nix and Payne leading a forum at ABHM Conference","Unknown","Unknown","15.1x9.9cm","Good - colour","","","937","",""
"00521","521","13","DF00989","","","","Rev & Mrs John Edmondstone with Rev Norm Nix","","Group at Chinese banquet","Unknown","Unknown","15.2x9.9cm","Good - colour","","","938","",""
"00522","522","12","DF01124","","","","Steve Brady & Doug Coglan Church Planters at Nerang","","Nerang church planters.  Steve Brady was a pastor at Labradorin the early 1990s.","Unknown","Unknown","18.0x13.3cm","Good - colour","","","939","",""
"00523","523","12","DF01125","","","1998-1999","Hamish & Sheila Grant Church Planters at Carindale","","Hamish was first pastor of Carindale BC in its formative years (early 1990s).  MTQ photo","Unknown","Unknown","19.8x13.8cm","Good - colour","","","940","",""
"00524","524","12","DF01124","","","1988-1999","Hamish & Sheila Grant Church Planters at Carindale","","Second photo of the couple taken later than the above.  MTQ photo","Unknown","Unknown","20.8x15.1cm","Good - colour","","","941","",""
"00525","525","13","DF00990","","","","Scott & Jeannie Leonard MTQ Staff","","The Leonards - MTQ","Unknown","Unknown","15.2x9.9cm","Good - colour","","","942","",""
"00526","526","12","DF01127","","","","Colin & Sharon Stoodley MTQ Staff","","Pastor Colin Stoodley and wife Maureen","Unknown","Unknown","20.4x15.1cm","Good - colour","","","943","",""
"00527","527","13","DF00991","","","","Des Limkin MTQ Staff","","MTQ staff member Des Limkin","Unknown","Unknown","15.1x10.1cm","Good - colour","","","944","",""
"00528","528","12","DF01128","","","","Colin and Maureen Lister MTQ Staff","","MTQ staff photo","Unknown","Unknown","20.2x15.0cm","Good - colour","","","945","",""
"00529","529","13","DF00992","","","","Tom & Donna Clift MTQ Staff","","MTQ Charleville 1987-1991 - See page 39-40 of MTQ book","Unknown","Unknown","15.1x10.1cm","Good - B & W","","","946","",""
"00530","530","13","DF00993","","","","Barry & Jan Fairhead MTQ Staff at Cooktown","","MTQ Cooktown 1987-1991 - See MTQ book page 31","Unknown","Unkown","14.7x10.1cm","Good - colour","","","947","",""
"00531","531","13","DF00994","","","","June Spence MTQ","","MTQ worker at Dysart and Tieri.  See MTQ book at pages 4, 8, 19 and 21.","Unknown","Unknown","13.9x8.6cm","Fair - B & W","","","948","",""
"00532","532","13","DF00995","","","","Paul & Penny Wilcox MTQ","","MTQ Middlemount 1983 - See pages 8-10 of MTQ book","Unknown","Unknown","10.9x8.3cm","Good - colour","","","949","",""
"00534","534","13","DF00996","","","","Phillip & Cynthia Chester Cooktown MTQ","","MTQ workers at Cooktown 1991-1995 - See page 31 of MTQ book","Unknown","Unknown","15.1x10.0cm","Good - colour","","","950","",""
"00535","535","13","DF00997","","","","John Walker & Wal Brown Whitsunday MTQ","","Revs Walker and Brown at MTQ - See MTQ book at page 27","Unknown","Whitsunday","15.1x10.1cm","Good - colour","","","951","",""
